IOP	Camera
FF103801	FinePix X100
FF108301	FinePix SL1000
FF109501	X-A1
FF109502	X-A2
FF109503	X-A10
FF116501	X-Pro1
FF116502	X-E1
FF116503	X-M1
FF119301	X-A3
FF119501	X100S
FF119502	X-E2
FF119503	X-T1
FF119504	X100T
FF119505	X-T10
FF119506	X70
FF119507	X-E2S
FF120601	FinePix S1
FF129301	X-A5
FF129302	X-T100
FF129303	XF10
FF129501	X-Pro2
FF129502	X-T2
FF129503	X-T20
FF129504	X100F
FF129505	X-E3
FF129506	X-H1
FF136101	GFX 50S
FF136102	GFX 50R
FF136103	GFX50S II
FF139301	X-A7
FF139302	X-T200
FF148801	FinePix S5500
FF149501	GFX 100
FF149502	GFX100S
FF159501	X-T3
FF159502	X-T30
FF159503	X-Pro3
FF159504	X100V
FF159505	X-E4
FF159505	X-T4
FF159506	X-S10
FF159508	X-T30 II
FF159509	X-S20
FF159510	X-M5
FF169501	X-H2S
FF179501	X-H2
FF179502	X-T5
FF179503	X100VI
FF179504	X-E5
FF189501	GFX100 II
FF189502	GFX100S II
FF189504	X-T50
FF189505	GFX100RF
FF383501	FinePixS2Pro
FF383601	DBP for GX680
FF389101	FinePix S7000
FF389201	FinePix S5000
FF389501	FinePix E550
FF389701	FinePix S6000fd
FF389701	FinePix S6500fd
FF390101	FinePix F700
FF392001	FinePix S3Pro
FF392201	FinePix S5Pro
FF392602	FinePix S100FS
FF393001	FinePix S5200
FF393001	FinePix S5600
FF393101	FinePix S9500
FF393102	FinePix S9600
FF393103	FinePix E900
FF394402	FinePix S200EXR
FF4K2003	FinePix F900EXR
FF4K2009	FinePix HS50EXR
FF4K2101	X20
FF4K2102	XQ1
FF4K2103	X30
FF4K2104	XQ2
FF535901	FinePix HS10 HS11
FF8EW403	FinePix F550EXR
FF8EW406	FinePix HS20EXR
FF8EW408	FinePix F600EXR
FF8EW411	FinePix F770EXR
FF8EW415	FinePix HS30EXR
FF8EW415	FinePix HS33EXR
FF8LY903	X10
FF8LY906	X-S1
FF8LY909	XF1
