ID	Name   	Date	Format 	SoC ID 	FFUN Status	Processor/Plaform	Kernel/OS	syslog	auto_act.scr	IOP	PID	Identical Firmware	Image Sensor 	Notes
4700 	Finepix 4700 	Jan/01	NA	FF4125									SuperCCD I 1/1.7" 2.4M/4M	
S1PRO	Finepix S1PRO	Jan/01	NA	FF4125									SuperCCD I APC-S 3M/6M	Nikon F60 Body
6900	Finepix 6900	Mar/01	NA										SuperCCD II, 3.3M/6M	
4900	Finepix 4900	Aug/01	NA										SuperCCD I 1/1.7" 2.4M	
S2PRO	Finepix S2PRO	Jan/02	NA	FF4127									SuperCCD III APC-S 6.1M 4256x2848	Nikon F80 body
S602	Finepix S602	Jan/02	NA										SuperCCD III, 3.1M/6M	
S7000	Finepix S7000	Jul/03	X0	FF4169		MIPS Toshiba TX4927	VxWorks 5.5 Wind River Systems		Y		SU-570		SuperCCD IV HR 1/1.7" 6.1M 2848x2136 	
S5000	Finepix S5000	Jul/03	NA			MIPS Toshiba TX49							SuperCCD IV HR 3.14/6M	
S3PRO	Finepix S3PRO	Feb/04	X1	FF4147		MIPS Toshiba TX49/H2  T8K15BXB	VxWorks 5.5 Wind River Systems		Y	FF392002			SuperCCD IV SR APC-S 6M/12M	Nikon F80 Body
S20PRO	Finepix S20PRO	Feb/04	NA	FF4147		MIPS Toshiba TX49/H2	VxWorks 5.5 Wind River Systems						SuperCCD IV SR 3M/6M	
S3100	FinePix S3100	Jul/04	NA	8J30004ABG-FF4170		Renesas M32R (?SG)	MR32R µITRON RTOS (?)					S3500(EU)	CCD 1/2.7" 4M	
S5100	Finepix S5100	Jul/04	NA	FF4147		MIPS Toshiba TX49/H2	VxWorks 5.5 Wind River System					S5500	4M	
F10	Finepix F10	Feb/05	X2	FF4195		MIPS	Norti(c) MiSPO	syslog Ver 1.2 	Y			F11	SuperCCD HR V 1/1.7" 6.3M	
S5200	Finepix S5200	Jul/05	NA	FF4193		MIPS TX49 ?(SG)						S5600(EU)	SuperCCD 1/2.5" 5.1M	
S9000	Finepix S9000	Jul/05	NA	FF4193		TX49 ?(SG)						S9500(EU)	SuperCCD 1/1.6" 9M	=S9500(EU)
F30	Finepix F30	May/06	X2	FF4198		ARM1136F-S	Norti(c) MiSPO	syslog Ver 2.0 	Y	FF148801	SU-1810		1/1.7" SuperCCD HR VI 6M	
Z3	Finepix Z3	May/06	X2			ARM	Norti(c) MiSPO	syslog Ver 2.0 					SuperCCD V HR 1/2.5" 5.1M	
